Estado,Medicamento,Apresentacao,Data,Valor,Quantidade,Base
BA,Acitretina,Comprimido/Cápsula,2023-04-04,18480,14000,LAI
BA,Acitretina,Comprimido/Cápsula,2025-04-08,49491,14100,LAI
BA,Acitretina,Comprimido/Cápsula,2025-06-30,49491,14100,LAI
BA,Acitretina,Comprimido/Cápsula,2024-05-14,52500,15000,LAI
BA,Acitretina,Comprimido/Cápsula,2023-11-24,52500,15000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2022-06-07,5120,2000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2022-09-13,11520,4500,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2025-10-14,62703.9,7770,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2022-04-19,20480,8000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2021-03-08,40000,8000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2022-02-28,49220,10000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2024-10-29,103635,10500,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2024-05-13,103730,11000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2025-03-13,148050,15000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2024-10-29,192465,19500,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2021-03-09,69300,22000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2024-05-13,235750,25000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2023-04-05,68608,26800,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2022-06-09,71680,28000,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2025-10-15,229995,28500,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2024-08-23,299874,31800,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2025-05-13,340515,34500,LAI
BA,Acitretina,25mg - Comprimido/Cápsula,2025-06-30,340515,34500,LAI
