Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
NA,AL,Selexipague,600mcg - Comprimido/Cápsula,NA,NA,LAI
NA,AL,Selexipague,800mcg - Comprimido/Cápsula,NA,NA,LAI
NA,AL,Selexipague,1mg - Não Especificado,NA,NA,LAI
NA,AL,Selexipague,1.2mg - Não Especificado,NA,NA,LAI
NA,AL,Selexipague,1.4mg - Não Especificado,NA,NA,LAI
NA,AL,Selexipague,1.6mg - Não Especificado,NA,NA,LAI
NA,AL,Triptorrelina,22.5mg - Não Especificado,NA,NA,LAI
2023-09-15,BA,Acetato De Ciproterona,50mg - Comprimido/Cápsula,180,765,LAI
2025-07-11,BA,Acetato De Ciproterona,50mg - Comprimido/Cápsula,220,778.8,LAI
2025-03-12,BA,Acetato De Ciproterona,50mg - Comprimido/Cápsula,260,969.8,LAI
2022-05-10,BA,Acetato De Ciproterona,50mg - Comprimido/Cápsula,380,1140,LAI
2021-09-30,BA,Acetato De Ciproterona,50mg - Comprimido/Cápsula,440,2021.8,LAI
2025-07-15,BA,Acetato De Ciproterona,50mg - Comprimido/Cápsula,15000,52650,LAI
2022-03-23,BA,Acetato De Gosserrelina,10.8mg - Injetável,31,32186.06,LAI
2021-07-12,BA,Acetato De Gosserrelina,10.8mg - Injetável,55,58970.45,LAI
2021-07-12,BA,Acetato De Gosserrelina,10.8mg - Injetável,95,101858.05,LAI
2024-11-01,BA,Acetato De Gosserrelina,10.8mg - Injetável,100,135100,LAI
NA,BA,Acetato De Gosserrelina,10.8mg - Injetável,104,140504,LAI
2022-03-23,BA,Acetato De Gosserrelina,10.8mg - Injetável,119,123552.94,LAI
NA,BA,Acetato De Gosserrelina,10.8mg - Injetável,121,163471,LAI
2024-04-16,BA,Acetato De Gosserrelina,10.8mg - Injetável,125,168875,LAI
2023-09-11,BA,Acetato De Gosserrelina,10.8mg - Injetável,125,168875,LAI
2024-08-02,BA,Acetato De Gosserrelina,10.8mg - Injetável,148,199948,LAI
2023-02-15,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,155739,LAI
2022-05-10,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,155739,LAI
2022-07-12,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,155739,LAI
2022-08-16,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,155739,LAI
2022-09-15,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,155739,LAI
2022-11-17,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,155739,LAI
2021-09-14,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,160828.5,LAI
2021-10-01,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,160828.5,LAI
2021-10-28,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,160828.5,LAI
2025-06-06,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,202650,LAI
2025-07-21,BA,Acetato De Gosserrelina,10.8mg - Injetável,150,202650,LAI
2024-03-08,BA,Acetato De Gosserrelina,10.8mg - Injetável,188,253988,LAI
2024-11-01,BA,Acetato De Gosserrelina,10.8mg - Injetável,200,270200,LAI
2023-09-11,BA,Acetato De Gosserrelina,10.8mg - Injetável,232,313432,LAI
2023-06-28,BA,Acetato De Gosserrelina,10.8mg - Injetável,250,388545,LAI
2024-11-13,BA,Acetato De Gosserrelina,10.8mg - Injetável,300,405300,LAI
2022-10-20,BA,Acetato De Gosserrelina,10.8mg - Injetável,450,467217,LAI
2021-08-13,BA,Acetato De Gosserrelina,3.6mg - Injetável,15,7157.85,LAI
2022-05-10,BA,Acetato De Gosserrelina,3.6mg - Injetável,69,34384.77,LAI
2023-10-10,BA,Acetato De Gosserrelina,3.6mg - Injetável,85,42358.05,LAI
2022-05-10,BA,Acetato De Gosserrelina,3.6mg - Injetável,111,55314.63,LAI
2025-10-17,BA,Acetato De Gosserrelina,3.6mg - Injetável,120,62490,LAI
2023-10-10,BA,Acetato De Gosserrelina,3.6mg - Injetável,137,68271.21,LAI
2021-08-13,BA,Acetato De Gosserrelina,3.6mg - Injetável,225,107367.75,LAI
2021-10-01,BA,Acetato De Gosserrelina,3.6mg - Injetável,240,114525.6,LAI
2024-06-12,BA,Acetato De Gosserrelina,3.6mg - Injetável,240,119599.2,LAI
2023-04-18,BA,Acetato De Gosserrelina,3.6mg - Injetável,240,119599.2,LAI
2022-09-15,BA,Acetato De Gosserrelina,3.6mg - Injetável,240,119599.2,LAI
2022-11-09,BA,Acetato De Gosserrelina,3.6mg - Injetável,240,119599.2,LAI
2021-11-09,BA,Acetato De Leuprorrelina,3.75mg - Injetável,8,1771.76,LAI
2021-03-22,BA,Acetato De Leuprorrelina,3.75mg - Injetável,102,22542,LAI
2025-10-24,BA,Acetato De Leuprorrelina,3.75mg - Injetável,131,35265.2,LAI
2022-01-04,BA,Acetato De Leuprorrelina,3.75mg - Injetável,150,36176.1,LAI
2022-11-10,BA,Acetato De Leuprorrelina,3.75mg - Injetável,179,38306,LAI
2025-10-24,BA,Acetato De Leuprorrelina,3.75mg - Injetável,205,55186,LAI
