"","Estado","Medicamento","Apresentacao","Data","Valor","Quantidade"
"146","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2021-09-28,114525.6,240
"147","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2024-06-07,119599.2,240
"148","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2023-04-17,119599.2,240
"149","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2022-09-06,119599.2,240
"150","BA","Acetato de Gosserrelina","6mg, subcutanea, seringa + depot",2022-10-25,119599.2,240
"151","BA","Acetato de Leuprorrelina","25mg, po liofilizado, injetavel, frasco-ampola + diluente + seringa descartavel + duas ag",2021-03-08,12673.4,10
"152","BA","Acetato de Leuprorrelina","25mg, po liofilizado, injetavel, frasco-ampola + diluente + seringa descartavel + duas ag",2022-03-17,50502,38
"153","BA","Acetato de Leuprorrelina","25mg, po liofilizado, injetavel, frasco-ampola + diluente + seringa descartavel + duas ag",2021-03-08,114060.6,90
"154","BA","Acetato de Leuprorrelina","25mg, po liofilizado, injetavel, frasco-ampola + diluente + seringa descartavel + duas ag",2022-03-16,132900,100
"155","BA","Acetato de Leuprorrelina","25mg, po liofilizado, injetavel, frasco-ampola + diluente + seringa descartavel + duas ag",2021-10-29,171741,138
"156","BA","Acetato de Leuprorrelina","25mg, po liofilizado, injetavel, frasco-ampola + diluente + seringa descartavel + duas ag",2021-09-29,457976,368
"157","BA","Acetato de Leuprorrelina","25mg, po liofilizado, injetavel, frasco-ampola + diluente + seringa descartavel + duas ag",2022-09-09,550206,414
"158","BA","Acetato de Leuprorrelina","25mg, po liofilizado, injetavel, frasco-ampola + diluente + seringa descartavel + duas ag",2022-10-25,550206,414
"159","BA","Acido Ursodesoxicolico","150mg comprimido",2024-02-08,57,60
"160","BA","Acido Ursodesoxicolico","150mg comprimido",2021-11-03,11021.56,6770
"161","BA","Acido Ursodesoxicolico","150mg comprimido",2024-09-02,8730,11640
"162","BA","Acido Ursodesoxicolico","150mg comprimido",2025-04-07,13258.68,18780
"163","BA","Acido Ursodesoxicolico","150mg comprimido",2021-03-08,49980,21000
"164","BA","Acido Ursodesoxicolico","150mg comprimido",2022-09-13,51170,43000
"165","BA","Acido Ursodesoxicolico","150mg comprimido",2021-05-21,107956.8,45360
"166","BA","Acido Ursodesoxicolico","150mg comprimido",2021-07-05,107956.8,45360
"167","BA","Acido Ursodesoxicolico","150mg comprimido",2022-09-16,54644.8,45920
"168","BA","Acido Ursodesoxicolico","150mg comprimido",2021-11-03,73061.84,54160
"169","BA","Acido Ursodesoxicolico","150mg comprimido",2022-03-07,82194.57,60930
"170","BA","Acido Ursodesoxicolico","150mg comprimido",2021-09-29,145013.4,60930
"171","BA","Acido Ursodesoxicolico","150mg comprimido",2022-06-08,96156.72,71280
"172","BA","Acido Ursodesoxicolico","150mg comprimido",2024-09-02,50493.12,71520
"173","BA","Acido Ursodesoxicolico","150mg comprimido",2025-08-11,49680,82800
"174","BA","Acido Ursodesoxicolico","150mg comprimido",2024-11-08,58710.96,83160
"175","BA","Acido Ursodesoxicolico","150mg comprimido",2024-06-07,58710.96,83160
"176","BA","Acido Ursodesoxicolico","150mg comprimido",2025-10-14,51840,86400
"177","BA","Acido Ursodesoxicolico","150mg comprimido",2023-11-24,83875.5,88290
"178","BA","Acido Ursodesoxicolico","150mg comprimido",2022-08-10,120007.04,88960
"179","BA","Acido Ursodesoxicolico","150mg comprimido",2022-10-14,108849.3,91470
"180","BA","Acido Ursodesoxicolico","150mg comprimido",2023-09-04,90544.5,95310
"181","BA","Acido Ursodesoxicolico","150mg comprimido",2023-05-09,114132.9,95910
"182","BA","Acido Ursodesoxicolico","300mg comprimido",2023-04-04,462,210
"183","BA","Acido Ursodesoxicolico","300mg comprimido",2021-02-02,3603.6,630
"184","BA","Acido Ursodesoxicolico","300mg comprimido",2022-03-31,2691,900
"185","BA","Acido Ursodesoxicolico","300mg comprimido",2021-04-12,9266.4,1620
"186","BA","Acido Ursodesoxicolico","300mg comprimido",2021-08-06,11595,2500
"187","BA","Acido Ursodesoxicolico","300mg comprimido",2021-05-04,18018,3150
"188","BA","Acido Ursodesoxicolico","300mg comprimido",2021-08-06,14784,3200
"189","BA","Acido Ursodesoxicolico","300mg comprimido",2021-07-05,19562.4,3420
"190","BA","Acido Ursodesoxicolico","300mg comprimido",2022-03-31,9785.1,5070
"191","BA","Acido Ursodesoxicolico","300mg comprimido",2021-09-29,26334,5700
"192","BA","Acido Ursodesoxicolico","300mg comprimido",2021-10-22,26334,5700
"193","BA","Acido Ursodesoxicolico","300mg comprimido",2022-06-07,13374.9,6930
"194","BA","Acido Ursodesoxicolico","300mg comprimido",2022-08-04,18122.7,9390
"195","BA","Acido Ursodesoxicolico","300mg comprimido",2022-09-05,18122.7,9390
"196","BA","Acido Ursodesoxicolico","300mg comprimido",2022-10-14,19975.5,10350
"197","BA","Acido Ursodesoxicolico","300mg comprimido",2025-03-12,12636,10530
"198","BA","Acido Ursodesoxicolico","300mg comprimido",2023-04-05,25671,12900
"199","BA","Acido Ursodesoxicolico","300mg comprimido",2023-07-03,29491.8,14820
"200","BA","Acido Ursodesoxicolico","300mg comprimido",2024-02-07,21091.5,16350
"201","BA","Acido Ursodesoxicolico","300mg comprimido",2023-10-04,33849.9,17010
"202","BA","Acido Ursodesoxicolico","300mg comprimido",2024-05-13,23220,18000
"203","BA","Acido Ursodesoxicolico","300mg comprimido",2024-09-02,27167.4,21060
"204","BA","Acido Ursodesoxicolico","300mg comprimido",2024-10-29,27167.4,21060
"205","BA","Acido Ursodesoxicolico","300mg comprimido",2025-05-13,31752,26460
"206","BA","Acido Ursodesoxicolico","300mg comprimido",2025-08-06,31752,26460
"207","BA","Acido Ursodesoxicolico","300mg comprimido",2025-10-14,35316,29430
"208","BA","Acitretina","cápsula",2022-07-01,5391,3000
"209","BA","Acitretina","cápsula",2021-03-08,6180,3000
"210","BA","Acitretina","cápsula",2022-07-01,6480,3000
"211","BA","Acitretina","cápsula",2025-10-14,12051.6,3630
"212","BA","Acitretina","cápsula",2023-10-04,12950,3700
"213","BA","Acitretina","cápsula",2024-10-04,14040,4000
"214","BA","Acitretina","cápsula",2022-07-05,5940,4500
"215","BA","Acitretina","cápsula",2024-11-08,23868,6800
"216","BA","Acitretina","cápsula",2022-02-23,13272,7000
"217","BA","Acitretina","cápsula",2021-03-08,14220,7500
"218","BA","Acitretina","cápsula",2024-10-08,33345,9500
"219","BA","Acitretina","cápsula",2022-09-05,13860,10500
"220","BA","Acitretina","cápsula",2021-06-02,19908,10500
"221","BA","Acitretina","cápsula",2021-09-28,19908,10500
"222","BA","Acitretina","cápsula",2021-10-21,19908,10500
"223","BA","Acitretina","cápsula",2025-10-15,34860,10500
"224","BA","Acitretina","cápsula",2023-10-04,39550,11300
"225","BA","Acitretina","cápsula",2022-10-14,17952,13600
"226","BA","Acitretina","cápsula",2023-04-04,18480,14000
"227","BA","Acitretina","cápsula",2025-04-08,49491,14100
"228","BA","Acitretina","cápsula",2025-06-30,49491,14100
"229","BA","Acitretina","cápsula",2024-05-14,52500,15000
"230","BA","Acitretina","cápsula",2023-11-24,52500,15000
"231","BA","Acitretina","25mg cápsula",2022-06-07,5120,2000
"232","BA","Acitretina","25mg cápsula",2022-09-13,11520,4500
"233","BA","Acitretina","25mg cápsula",2025-10-14,62703.9,7770
"234","BA","Acitretina","25mg cápsula",2022-04-19,20480,8000
"235","BA","Acitretina","25mg cápsula",2021-03-08,40000,8000
"236","BA","Acitretina","25mg cápsula",2022-02-28,49220,10000
"237","BA","Acitretina","25mg cápsula",2024-10-29,103635,10500
"238","BA","Acitretina","25mg cápsula",2024-05-13,103730,11000
"239","BA","Acitretina","25mg cápsula",2025-03-13,148050,15000
"240","BA","Acitretina","25mg cápsula",2024-10-29,192465,19500
"241","BA","Acitretina","25mg cápsula",2021-03-09,69300,22000
"242","BA","Acitretina","25mg cápsula",2024-05-13,235750,25000
"243","BA","Acitretina","25mg cápsula",2023-04-05,68608,26800
"244","BA","Acitretina","25mg cápsula",2022-06-09,71680,28000
"245","BA","Acitretina","25mg cápsula",2025-10-15,229995,28500
"246","BA","Acitretina","25mg cápsula",2024-08-23,299874,31800
"247","BA","Acitretina","25mg cápsula",2025-05-13,340515,34500
"248","BA","Acitretina","25mg cápsula",2025-06-30,340515,34500
"249","BA","Acitretina","25mg cápsula",2021-06-02,113400,36000
"250","BA","Acitretina","25mg cápsula",2021-09-09,113400,36000
"251","BA","Acitretina","25mg cápsula",2021-09-28,113400,36000
"252","BA","Acitretina","25mg cápsula",2022-09-14,103680,40500
"253","BA","Acitretina","25mg cápsula",2023-03-21,115200,45000
"254","BA","Acitretina","25mg cápsula",2022-08-10,115200,45000
"255","BA","Ambrisentana","comprimido revestido, 5mg",2022-09-14,1082.4,30
"256","BA","Ambrisentana","comprimido revestido, 5mg",2021-09-10,5175,150
"257","BA","Ambrisentana","comprimido revestido, 5mg",2022-09-13,5412,150
"258","BA","Ambrisentana","comprimido revestido, 5mg",2025-10-14,6627,150
"259","BA","Ambrisentana","comprimido revestido, 5mg",2022-08-03,6210,180
"260","BA","Ambrisentana","comprimido revestido, 5mg",2022-10-14,6494.4,180
"261","BA","Ambrisentana","comprimido revestido, 5mg",2023-10-04,7218,180
"262","BA","Ambrisentana","comprimido revestido, 5mg",2023-11-28,7218,180
"263","BA","Ambrisentana","comprimido revestido, 5mg",2021-09-14,7245,210
"264","BA","Ambrisentana","comprimido revestido, 5mg",2021-10-29,12420,360
"265","BA","Ambrisentana","comprimido revestido, 5mg",2024-03-05,14436,360
"266","BA","Ambrisentana","comprimido revestido, 5mg",2024-09-05,18564,420
"267","BA","Ambrisentana","comprimido revestido, 5mg",2021-03-08,14760,450
"268","BA","Ambrisentana","comprimido revestido, 5mg",2025-10-15,29158.8,660
"269","BA","Ambrisentana","comprimido revestido, 5mg",2025-04-24,37111.2,840
"270","BA","Ambrisentana","comprimido revestido, 5mg",2024-12-05,54427.5,1230
"271","BA","Ambrisentana","comprimido revestido, 5mg",2025-06-18,60968.4,1380
