Data,Estado,Medicamento,Apresentacao,Quantidade,Valor,Base
2024-10-18,MG,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,1240410,2337552.645,PNCP
2024-10-18,MG,Acido Ursodesoxicolico,50mg - Comprimido/Cápsula,7860,9353.4,PNCP
2024-10-18,MG,Bosentana,125mg - Comprimido/Cápsula,99640,947526.58,PNCP
2024-10-18,MG,Bosentana,625mg - Comprimido/Cápsula,45090,NA,PNCP
2024-10-18,MG,Hidroxiureia,500mg - Comprimido/Cápsula,2148580,3126183.9,PNCP
2024-10-18,MG,Imunoglobulina Humana,5g - Injetável,26500,46694855,PNCP
2024-10-18,MG,Octreotida,1mg/ml - Injetável,16225,846945,PNCP
2024-10-18,MG,Octreotida Acetato,1mg/ml - Injetável,16225,846945,PNCP
2024-10-18,MG,Risperidona,1mg - Comprimido/Cápsula,3489120,360426.096,PNCP
2024-10-18,MG,Risperidona,2mg - Comprimido/Cápsula,4380300,506362.68,PNCP
2025-04-29,SP,Acido Ursodesoxicolico,Não Especificado,1247060,1558825,PNCP
2024-06-27,SP,Acitretina,Não Especificado,1108260,3431948.74,PNCP
2024-06-27,SP,Acitretina,Não Especificado,300770,2969622.51,PNCP
2024-06-27,SP,Acido Ursodesoxicolico,Não Especificado,178271,188967.26,PNCP
2024-06-27,SP,Acido Ursodesoxicolico,Não Especificado,4792940,6307509.04,PNCP
2024-09-11,SP,Acido Ursodesoxicolico,Não Especificado,14900,39187,PNCP
2024-06-27,SP,Acitretina,Não Especificado,1108260,3431948.74,PNCP
2024-06-27,SP,Acitretina,Não Especificado,300770,2969622.51,PNCP
2024-06-27,SP,Acido Ursodesoxicolico,Não Especificado,178271,188967.26,PNCP
2024-06-27,SP,Acido Ursodesoxicolico,Não Especificado,4792940,6307509.04,PNCP
2025-03-28,SP,Acido Ursodesoxicolico,Não Especificado,18000,71604,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,440000,308396,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,62000,93204.6,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,440000,308396,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,62000,93204.6,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,440000,308396,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,62000,93204.6,PNCP
2024-10-18,MG,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,245290,403502.05,PNCP
2024-10-18,MG,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,1240410,2337552.645,PNCP
2024-10-18,MG,Acido Ursodesoxicolico,50mg - Comprimido/Cápsula,7860,9353.4,PNCP
2024-10-18,MG,Bosentana,125mg - Comprimido/Cápsula,99640,947526.58,PNCP
2024-10-18,MG,Bosentana,625mg - Comprimido/Cápsula,45090,NA,PNCP
2024-10-18,MG,Hidroxiureia,500mg - Comprimido/Cápsula,2148580,3126183.9,PNCP
2024-10-18,MG,Imunoglobulina Humana,5g - Injetável,26500,46694855,PNCP
2024-10-18,MG,Octreotida,1mg/ml - Injetável,16225,846945,PNCP
2024-10-18,MG,Octreotida Acetato,1mg/ml - Injetável,16225,846945,PNCP
2024-10-18,MG,Risperidona,1mg - Comprimido/Cápsula,3489120,360426.096,PNCP
2024-10-18,MG,Risperidona,2mg - Comprimido/Cápsula,4380300,506362.68,PNCP
2025-04-29,SP,Acido Ursodesoxicolico,Não Especificado,1247060,1558825,PNCP
2024-06-27,SP,Acitretina,Não Especificado,1108260,3431948.74,PNCP
2024-06-27,SP,Acitretina,Não Especificado,300770,2969622.51,PNCP
2024-06-27,SP,Acido Ursodesoxicolico,Não Especificado,178271,188967.26,PNCP
2024-06-27,SP,Acido Ursodesoxicolico,Não Especificado,4792940,6307509.04,PNCP
2024-09-11,SP,Acido Ursodesoxicolico,Não Especificado,14900,39187,PNCP
2024-06-27,SP,Acitretina,Não Especificado,1108260,3431948.74,PNCP
2024-06-27,SP,Acitretina,Não Especificado,300770,2969622.51,PNCP
2024-06-27,SP,Acido Ursodesoxicolico,Não Especificado,178271,188967.26,PNCP
2024-06-27,SP,Acido Ursodesoxicolico,Não Especificado,4792940,6307509.04,PNCP
2025-03-28,SP,Acido Ursodesoxicolico,Não Especificado,18000,71604,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,440000,308396,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,62000,93204.6,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,440000,308396,PNCP
2025-01-29,ES,Acido Ursodesoxicolico,Não Especificado,62000,93204.6,PNCP
2025-04-29,SP,Acido Ursodesoxicolico,Não Especificado,1247060,1558825,PNCP
2024-10-18,MG,Acido Ursodesoxicolico,150mg - Comprimido/Cápsula,245290,403502.05,PNCP
2024-10-18,MG,Acido Ursodesoxicolico,300mg - Comprimido/Cápsula,1240410,2337552.645,PNCP
2024-10-18,MG,Acido Ursodesoxicolico,50mg - Comprimido/Cápsula,7860,9353.4,PNCP
2024-10-18,MG,Bosentana,125mg - Comprimido/Cápsula,99640,947526.58,PNCP
2024-10-18,MG,Bosentana,625mg - Comprimido/Cápsula,45090,NA,PNCP
2024-10-18,MG,Hidroxiureia,500mg - Comprimido/Cápsula,2148580,3126183.9,PNCP
2024-10-18,MG,Imunoglobulina Humana,5g - Injetável,26500,46694855,PNCP
